CountryCode,CountryName,Year,Current_Account,FDI_Inflows,GDP_Growth,GDP_per_Capita,Govt_Debt,Inflation,Unemployment,Norm_GDP_Growth,Norm_Inflation,Norm_Unemployment,Norm_Govt_Debt,Norm_FDI,Norm_Current_Account,CountryRiskScore,RiskCategory,Signal_GDP_Slowdown,Signal_High_Inflation,Signal_High_Unemployment
ARE,United Arab Emirates,2020,13.1295797567307,5.56735667729859,-8.69343363776639,37991.738387966,-0.158257983947341,-2.07940317940944,4.294,0.9329107799419318,0.0,0.06727147162230035,0.24589031321927624,0.8146630046931074,0.26281595941812724,40.02,Watch,1,0,0
ARE,United Arab Emirates,2021,13.1295797567307,4.89230595097426,4.55280140106356,44118.4936214315,1.57508528702397,0.179935336174431,3.105,0.2767986692927084,0.19889402456441738,0.02994726268206932,0.33402628340060375,0.8352637241761216,0.26281595941812724,29.01,Stable,0,0,0
ARE,United Arab Emirates,2022,13.1295797567307,4.44591398367961,7.51452414254605,50759.7590190204,0.907809297881396,5.29122604376849,2.872,0.130098708634036,0.6488510241640876,0.022633098945253647,0.3000970452244692,0.8488863977606395,0.26281595941812724,33.69,Stable,0,0,0
ARE,United Arab Emirates,2023,13.1295797567307,5.87183983564899,4.30113648499413,49850.6945082084,1.49444647701173,1.62670837213248,2.151,0.289264128253284,0.3262563077141887,0.0,0.32992601089617724,0.8053710035324937,0.26281595941812724,31.04,Stable,0,0,0
ARE,United Arab Emirates,2024,14.4792979326645,8.26261604873876,3.99181200361831,50273.5126243239,1.27158921671582,1.66336510224894,2.16,0.3045855790471159,0.32948327194727983,0.0002825213460572684,0.31859430229749547,0.7324109900225424,0.20488422151117971,29.95,Stable,0,0,0
ARE,United Arab Emirates,2025,14.4792979326645,8.26261604873876,3.99181200361831,50273.5126243239,1.27158921671582,1.250865245598,2.174,0.3045855790471159,0.2931700961855908,0.0007219989954796626,0.31859430229749547,0.7324109900225424,0.20488422151117971,29.23,Stable,0,0,0
BRA,Brazil,2020,-1.64103541830151,2.59263795310275,-3.2767587964736,7074.19378337644,-3.57855007970056,3.21176803803376,13.697,0.6646122066187846,0.4657922355759617,0.36244349573078855,0.07197740905816775,0.9054433617659859,0.8967908308407063,50.83,Watch,1,0,1
BRA,Brazil,2021,-2.35822097223117,2.77979084938159,4.76260437908608,7972.5366498646,2.68673261538923,8.30165975585673,13.158,0.2664067145729462,0.9138654399108551,0.34552360622802614,0.3905506415158028,0.8997319623609852,0.9275734092201946,56.2,Elevated,0,1,1
BRA,Brazil,2022,-2.14967698505073,3.8680317970139,3.01669435393015,9281.33334441234,0.404972063324474,9.28010608956873,9.231,0.3528850767830946,1.0,0.2222501255650427,0.2745290874787795,0.8665217966388143,0.9186224179519258,55.5,Elevated,0,1,0
BRA,Brazil,2023,-1.23139445763703,2.86383344298207,3.24165532906981,10377.5892792557,-0.508795535226929,4.59356282283204,7.947,0.3417423166116258,0.5874343551498981,0.18194374686087394,0.2280663958888673,0.897167210072197,0.8792084842499105,45.35,Watch,0,0,0
BRA,Brazil,2024,-2.9880142706208,3.38960808548439,3.41931516501906,10310.5486973693,1.52640208253162,4.36746407652337,6.801,0.33294247502640856,0.567530436683444,0.14596936212958314,0.3315508698276969,0.881121992284714,0.9546049932563345,46.85,Watch,0,0,0
BRA,Brazil,2025,-2.92630139201733,3.40696865505948,2.2857464902475,10713.2856869511,1.52640208253162,5.01675279604836,5.97,0.3890903641126275,0.6246886029519588,0.11988322451029634,0.3315508698276969,0.8805921947303449,0.9519561926604131,48.98,Watch,0,0,0
CHN,China,2020,1.49179592498582,1.68770756292082,2.33950385203023,10627.4637989619,1.27158921671582,2.41942189457782,5.0,0.38642765610549884,0.3960404421934986,0.08943370165745858,0.31859430229749547,0.9330593858554642,0.7623254531625638,42.25,Watch,0,0,0
